2026-05-28 11:06:34.565 | DEBUG    | rag_module:__init__:382 - Initializing RAGManager for user: mahek
2026-05-28 11:06:34.655 | INFO     | rag_module:create_session:120 - Created new session 33bddafa-6473-4c00-8612-b39745d434cd for user mahek
2026-05-28 11:07:26.195 | ERROR    | mem0_integration:search_memories:133 - Error searching memories: Top-level entity parameters frozenset({'user_id'}) are not supported in search(). Use filters={'user_id': '...'} instead.
2026-05-28 11:08:00.490 | INFO     | research_graph:planner_node:43 - Starting Planner for query: impact of health  and technology ...
2026-05-28 11:08:07.728 | DEBUG    | research_graph:planner_node:48 - Planner generated 3 tasks.
2026-05-28 11:08:07.744 | INFO     | research_graph:researcher_node:52 - Starting Researcher...
2026-05-28 11:08:07.746 | DEBUG    | research_graph:researcher_node:58 - Searching for: *   Assess the effectiveness of digital health interventions (e.g., telehealth, mobile apps, wearables) in improving patient outcomes and adherence for chronic disease management.
2026-05-28 11:08:12.522 | DEBUG    | research_graph:researcher_node:58 - Searching for: *   Analyze the societal and ethical implications of advanced health technologies (e.g., AI, big data analytics) on healthcare access, equity, and data privacy across diverse populations.
2026-05-28 11:08:14.534 | DEBUG    | research_graph:researcher_node:58 - Searching for: *   Investigate the psychological and behavioral impacts of personal health technologies (e.g., self-monitoring devices, gamified apps) on user engagement, health literacy, and overall well-being.
2026-05-28 11:08:16.110 | INFO     | research_graph:researcher_node:70 - Researcher found 9 results from 9 sources.
2026-05-28 11:08:16.121 | INFO     | research_graph:analyst_node:74 - Starting Analyst...
2026-05-28 11:08:16.126 | INFO     | research_graph:fact_checker_node:83 - Starting Fact-Checker...
2026-05-28 11:08:29.221 | DEBUG    | research_graph:analyst_node:79 - Analyst finished extracting insights.
2026-05-28 11:08:42.298 | DEBUG    | research_graph:fact_checker_node:88 - Fact-checker finished verification.
2026-05-28 11:08:42.306 | INFO     | research_graph:critic_node:92 - Starting Critic...
2026-05-28 11:08:55.332 | INFO     | research_graph:critic_node:112 - Critic Score: 9
2026-05-28 11:08:55.335 | INFO     | research_graph:routing_logic:146 - Satisfactory score achieved. Proceeding to writer.
2026-05-28 11:08:55.343 | INFO     | research_graph:writer_node:116 - Starting Writer...
2026-05-28 11:09:10.710 | INFO     | research_graph:writer_node:121 - Writer finished final report.
2026-05-28 11:19:57.477 | DEBUG    | rag_module:__init__:382 - Initializing RAGManager for user: mahek
2026-05-28 11:19:57.530 | INFO     | rag_module:create_session:120 - Created new session c90c6ea1-f4b0-4248-89d6-1ccb978c1d87 for user mahek
2026-05-28 11:22:17.543 | INFO     | research_graph:planner_node:43 - Starting Planner for query: limitations of this...
2026-05-28 11:22:21.823 | DEBUG    | research_graph:planner_node:48 - Planner generated 4 tasks.
2026-05-28 11:22:21.831 | INFO     | research_graph:researcher_node:52 - Starting Researcher...
2026-05-28 11:22:21.833 | DEBUG    | research_graph:researcher_node:58 - Searching for: *   Define the specific scope, context, and underlying assumptions of the subject ("this") to establish boundaries for limitation analysis.
2026-05-28 11:22:24.316 | DEBUG    | research_graph:researcher_node:58 - Searching for: *   Systematically identify and categorize potential limitations across relevant dimensions (e.g., technical, practical, theoretical, resource, ethical, scalability, generalizability).
2026-05-28 11:22:26.510 | DEBUG    | research_graph:researcher_node:58 - Searching for: *   Develop and execute methodologies (e.g., empirical testing, comparative analysis, literature review, expert interviews) to validate or theoretically analyze the identified limitations.
2026-05-28 11:22:28.492 | INFO     | research_graph:researcher_node:70 - Researcher found 9 results from 9 sources.
2026-05-28 11:22:28.503 | INFO     | research_graph:analyst_node:74 - Starting Analyst...
2026-05-28 11:22:28.505 | INFO     | research_graph:fact_checker_node:83 - Starting Fact-Checker...
2026-05-28 11:22:39.144 | DEBUG    | research_graph:fact_checker_node:88 - Fact-checker finished verification.
2026-05-28 11:22:40.387 | DEBUG    | research_graph:analyst_node:79 - Analyst finished extracting insights.
2026-05-28 11:22:40.397 | INFO     | research_graph:critic_node:92 - Starting Critic...
2026-05-28 11:22:54.542 | INFO     | research_graph:critic_node:112 - Critic Score: 10
2026-05-28 11:22:54.544 | INFO     | research_graph:routing_logic:146 - Satisfactory score achieved. Proceeding to writer.
2026-05-28 11:22:54.552 | INFO     | research_graph:writer_node:116 - Starting Writer...
2026-05-28 11:23:13.021 | INFO     | research_graph:writer_node:121 - Writer finished final report.
2026-05-28 11:27:08.675 | DEBUG    | rag_module:__init__:382 - Initializing RAGManager for user: mahek
2026-05-28 11:27:08.694 | INFO     | rag_module:create_session:120 - Created new session 4e1805a2-70d0-477b-888b-cd8b9e4e7dc0 for user mahek
2026-05-28 11:28:01.667 | INFO     | research_graph:planner_node:43 - Starting Planner for query: health drawbacks currently due to ai...
2026-05-28 11:28:11.257 | DEBUG    | research_graph:planner_node:48 - Planner generated 4 tasks.
2026-05-28 11:28:11.265 | INFO     | research_graph:researcher_node:52 - Starting Researcher...
2026-05-28 11:28:11.268 | DEBUG    | research_graph:researcher_node:58 - Searching for: *   Investigate the current mental health impacts of AI-driven technologies on individuals, including increased stress, anxiety, and cognitive overload.
2026-05-28 11:28:15.816 | DEBUG    | research_graph:researcher_node:58 - Searching for: *   Analyze documented cases and emerging patterns of physical health risks directly attributable to AI systems, such as diagnostic errors in healthcare AI or malfunctions in AI-controlled medical devices.
2026-05-28 11:28:17.520 | DEBUG    | research_graph:researcher_node:58 - Searching for: *   Examine how AI-driven applications and services currently influence human behavior and lifestyle choices, leading to adverse physical health outcomes like increased sedentary behavior or sleep disruption.
2026-05-28 11:28:19.305 | INFO     | research_graph:researcher_node:70 - Researcher found 9 results from 9 sources.
2026-05-28 11:28:19.315 | INFO     | research_graph:analyst_node:74 - Starting Analyst...
2026-05-28 11:28:19.321 | INFO     | research_graph:fact_checker_node:83 - Starting Fact-Checker...
2026-05-28 11:28:28.422 | DEBUG    | research_graph:analyst_node:79 - Analyst finished extracting insights.
2026-05-28 11:28:32.120 | DEBUG    | research_graph:fact_checker_node:88 - Fact-checker finished verification.
2026-05-28 11:28:32.129 | INFO     | research_graph:critic_node:92 - Starting Critic...
2026-05-28 11:28:42.769 | INFO     | research_graph:critic_node:112 - Critic Score: 95
2026-05-28 11:28:42.772 | INFO     | research_graph:routing_logic:146 - Satisfactory score achieved. Proceeding to writer.
2026-05-28 11:28:42.779 | INFO     | research_graph:writer_node:116 - Starting Writer...
2026-05-28 11:28:59.561 | INFO     | research_graph:writer_node:121 - Writer finished final report.
2026-05-28 11:29:08.229 | INFO     | mem0_integration:add_memory_from_conversation:105 - Memory added for user mahek
2026-05-28 11:30:00.627 | INFO     | research_graph:planner_node:43 - Starting Planner for query: current limitations...
2026-05-28 11:30:04.750 | DEBUG    | research_graph:planner_node:48 - Planner generated 4 tasks.
2026-05-28 11:30:04.760 | INFO     | research_graph:researcher_node:52 - Starting Researcher...
2026-05-28 11:30:04.761 | DEBUG    | research_graph:researcher_node:58 - Searching for: *   Conduct a comprehensive literature review to identify and categorize existing limitations across relevant methodologies, technologies, or theoretical frameworks.
2026-05-28 11:30:08.065 | DEBUG    | research_graph:researcher_node:58 - Searching for: *   Perform a root cause analysis for the most significant identified limitations, investigating underlying factors such as data scarcity, algorithmic complexity, hardware constraints, or theoretical gaps.
2026-05-28 11:30:09.919 | DEBUG    | research_graph:researcher_node:58 - Searching for: *   Quantify the impact and severity of these limitations on performance, scalability, reliability, or applicability in real-world scenarios.
2026-05-28 11:30:11.834 | INFO     | research_graph:researcher_node:70 - Researcher found 9 results from 9 sources.
